table_schema,table_name,column_name,description
dev_hotel_sales,nihrm__RevenueClassificationJunction__c,Id,
dev_hotel_sales,nihrm__RoomblockPackage__c,Id,
dev_hotel_sales,nihrm__EventItemRevenueBreakdown__c,Id,
dev_hotel_sales,nihrm__Inquiry__c,Id,
dev_hotel_sales,nihrm__BookingPostedRevenue__c,Id,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__c,Id,
dev_hotel_sales,nihrm__BookingRoomNight__c,Id,
dev_hotel_sales,nihrm__BookingInquiry__c,Id,
dev_hotel_sales,nihrm__EventFunctionroomDate__c,Id,
dev_hotel_sales,nihrm__BookingPackage__c,Id,
dev_hotel_sales,nihrm__SetupValue__c,Id,
dev_hotel_sales,nihrm__EIRevBreakdownAlternatePrice__c,Id,
dev_hotel_sales,nihrm__BookingRoomBlock__c,Id,
dev_hotel_sales,nihrm__EventClassificationItem__c,Id,
dev_hotel_sales,nihrm__SiteFunctionRoomSetup__c,Id,
dev_hotel_sales,nihrm__PmsRoomBlock__c,Id,
dev_hotel_sales,nihrm__Inquiry__c,Inquiry_Comments__c,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__History,IsDeleted,
dev_hotel_sales,nihrm__VolumeContractGuestroomType__c,IsDeleted,
dev_hotel_sales,nihrm__ChannelPackage__c,IsDeleted,
dev_hotel_sales,nihrm__BookingTax__c,IsDeleted,
dev_hotel_sales,nihrm__PackageItem__c,IsDeleted,
dev_hotel_sales,nihrm__FunctionRoomAlternatePrice__c,IsDeleted,
dev_hotel_sales,nihrm__BookingOtherIncome__c,IsDeleted,
dev_hotel_sales,nihrm__ChannelLocationItem__c,IsDeleted,
dev_hotel_sales,nihrm__RevenueClassification__c,IsDeleted,
dev_hotel_sales,nihrm__Package__c,IsDeleted,
dev_hotel_sales,nihrm__VolumeContractPeriod__c,IsDeleted,
dev_hotel_sales,nihrm__GuestroomType__c,IsDeleted,
dev_hotel_sales,nihrm__FunctionRoomGroup__c,IsDeleted,
dev_hotel_sales,nihrm__FunctionRoomGroupComponent__c,IsDeleted,
dev_hotel_sales,nihrm__EventClassification__c,IsDeleted,
dev_hotel_sales,nihrm__VolumeContract__c,IsDeleted,
dev_hotel_sales,nihrm__PmsRoomNight__c,IsDeleted,
dev_hotel_sales,nihrm__ReservationNight__c,IsDeleted,
dev_hotel_sales,nihrm__Channel__c,IsDeleted,
dev_hotel_sales,nihrm__Booking__c,IsDeleted,
dev_hotel_sales,sertifisem__DataMapItem__c,IsDeleted,
dev_hotel_sales,nihrm__BookingContact__c,IsDeleted,
dev_hotel_sales,nihrm__OtherIncome__c,IsDeleted,
dev_hotel_sales,nihrm__Reservation__c,IsDeleted,
dev_hotel_sales,nihrm__Transaction__c,IsDeleted,
dev_hotel_sales,nihrm__PicklistMapping__c,IsDeleted,
dev_hotel_sales,nihrm__EventItemAlternatePrice__c,IsDeleted,
dev_hotel_sales,nihrm__VolumeContractPickup__c,IsDeleted,
dev_hotel_sales,nihrm__PackageEvent__c,IsDeleted,
dev_hotel_sales,nihrm__EventItem__c,IsDeleted,
dev_hotel_sales,nihrm__ChannelLocation__c,IsDeleted,
dev_hotel_sales,nihrm__SiteRateCode__c,IsDeleted,
dev_hotel_sales,nihrm__EventPackageItem__c,IsDeleted,
dev_hotel_sales,nihrm__RoomBlockRevenue__c,IsDeleted,
dev_hotel_sales,nihrm__Site__c,IsDeleted,
dev_hotel_sales,nihrm__Location__c,IsDeleted,
dev_hotel_sales,nihrm__CustomMapping__c,IsDeleted,
dev_hotel_sales,sertifisem__DataMap__c,IsDeleted,
dev_hotel_sales,nihrm__RateCode__c,IsDeleted,
dev_hotel_sales,nihrm__SalesGoal__c,IsDeleted,
dev_hotel_sales,nihrm__VolumeContractContact__c,IsDeleted,
dev_hotel_sales,nihrm__Item__c,IsDeleted,
dev_hotel_sales,nihrm__EventPackageRevenueBreakdown__c,IsDeleted,
dev_hotel_sales,nihrm__RevenueClassificationJunction__c,IsDeleted,
dev_hotel_sales,nihrm__RoomblockPackage__c,IsDeleted,
dev_hotel_sales,nihrm__EventItemRevenueBreakdown__c,IsDeleted,
dev_hotel_sales,nihrm__Inquiry__c,IsDeleted,
dev_hotel_sales,nihrm__BookingPostedRevenue__c,IsDeleted,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__c,IsDeleted,
